DATE_KEY,STORE,PRICE_PAID,QTY,DESCRIPTION,DEPARTMENT,CATEGORY
20170214,a54fdfb8a3b812c7da2b029b4f23863bf0a9de6f,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,a853fb97c82d1bf0e87412dc905b835eff1e1c3d,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ff869707c585427f5a1150e6acdbb2edfff045d3,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,85e200307626f18773d40795f4e2c266003a16b4,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,40f162bc8a6aaaff878c50d27cfb5189a3abbf77,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,e0be7db008c39b16449cc826464fb6772dc636e5,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,cadaac3da38af9aad990bdf122b36ab505f86869,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,6fc160b221c8c31f53a90a160d452dc169caf8ff,6.49,1,ENER ECO ADVNC AA 4CT BATTERY,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5243d4cfbd6bae154d782531c1a37fa2439d7e2a,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,6213dc1e91e82981e8802bb563eff83ad8b94e52,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2c6b65ea584d7e215b53f2c0dc8652953e33ddc2,12.49,1,ENRGZ PHO LITH 3V 123A,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,3df4bc23f8dee4d6e0230870b9a1b49921ec0397,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,c425ae322e9ea01d428fb699d745b144c753ecd2,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d4e65dd0ff49e6f3715f63bcae5f9719e7b3c79a,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,373c3a5d18c31e5991afa161a4512e3af3c4b13e,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,1f34795828ed059043f0938b972d7f38ddbb462d,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,456b867dc34ee390d63684638b490897821f0eed,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,9565aaed189cc320c79fde6803424eb8996b7257,9.99,2,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,df157e62145570a13e2c5ef6787d9222772456ab,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,a14dcd82c66fbc9073121df6048714127916ba66,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d4c64a1e4107ed5431830e41e1dceb3c8fdf4c9c,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,85bb3c614b9b19cf5793e84ebb826ac30800eab2,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d8d7dbbeadff66984a621a3be30765bd8f47edd3,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,6728213e0a2b32f164f212f5467d212b73917aa9,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4740a5089356cfff085f51428f60b3e0a89c1b2c,-1.64,-1,ENER ALK E90 2PK,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,456b867dc34ee390d63684638b490897821f0eed,8.49,1,ENER ECO ADVNC AA 4CT BATTERY,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,e468aba3faea8c8f94669d54d9c20db90fec14e0,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
